FeatureID,FeatureName,SUM159R1 Average,SUM159R1 Log2 Fold Change,SUM159R1 P-Value,SUM159R2 Average,SUM159R2 Log2 Fold Change,SUM159R2 P-Value
ENSG00000253377,AC068672.2,1.349142877706278,3.5301957926041077,2.4743189225291555e-22,0.11553255817140966,-3.5301957926041077,2.4743189225291555e-22
ENSG00000137691,CFAP300,1.4024303881363283,2.1505974261192082,3.390260952862698e-11,0.31472662398418494,-2.1505974261192082,3.390260952862698e-11
ENSG00000137500,CCDC90B,3.8875661018286825,1.9129914885218218,2.968032506331505e-10,1.030497300471424,-1.9129914885218218,2.968032506331505e-10
ENSG00000152558,TMEM123,11.040203297280456,1.8525896474452448,7.458904258211471e-10,3.052981048690469,-1.8525896474452448,7.458904258211258e-10
ENSG00000246067,RAB30-DT,4.275111632229049,1.8802862575600852,1.043970884836885e-09,1.159309463030352,-1.8802862575600852,1.043970884836885e-09
ENSG00000225383,SFTA1P,1.005196219475952,2.098340267470312,1.3110608186785988e-09,0.23372103722032297,-2.098340267470312,1.3110608186785988e-09
ENSG00000137509,PRCP,1.6494906637665623,1.6829442722919794,1.9385523138302793e-07,0.5125927293582083,-1.6829442722919794,1.9385523138302793e-07
ENSG00000223784,LINP1,1.3612536755312894,1.759323228019496,2.3583216835215105e-07,0.4010440525030542,-1.759323228019496,2.3583216835215105e-07
ENSG00000078124,ACER3,1.2231905803261587,1.6293311536443658,1.0560990384638493e-06,0.394404250309295,-1.6293311536443658,1.0560990384638493e-06
ENSG00000137692,DCUN1D5,13.128104842312435,1.4991854980812138,2.076926173169694e-06,4.63856581256016,-1.4991854980812138,2.076926173169694e-06
ENSG00000151366,NDUFC2,22.81432094275661,1.4829945036548207,2.8685130156415e-06,8.152349133497516,-1.4829945036548207,2.8685130156415e-06
ENSG00000109321,AREG,1.7173111315866265,1.7005566932606129,3.0678260744875026e-06,0.5272002941844786,-1.7005566932606129,3.0678260744875026e-06
ENSG00000171202,TMEM126A,6.760247345921403,1.4725982550819836,3.905381288903081e-06,2.432823523793362,-1.4725982550819836,3.905381288903081e-06
ENSG00000087884,AAMDC,3.7301257301035333,1.4908163781345842,4.804946820594515e-06,1.3253045178743315,-1.4908163781345842,4.804946820594719e-06
ENSG00000166435,XRRA1,1.0972382829460392,1.557628266482206,5.322916404532704e-06,0.37182892285051383,-1.557628266482206,5.322916404532704e-06
ENSG00000171204,TMEM126B,5.016292459119751,1.4404076825565322,8.502709631721967e-06,1.8458650098650506,-1.4404076825565322,8.502709631721364e-06
ENSG00000137693,YAP1,1.441184941176365,1.4773443061247682,1.186345069586452e-05,0.5165766106744638,-1.4773443061247682,1.186345069586452e-05
ENSG00000149273,RPS3,294.56366901905903,1.352152958722887,2.419101980657411e-05,115.25634240014926,-1.352152958722887,2.4191019806576514e-05
ENSG00000137492,THAP12,2.281674310232161,1.3912689636625013,2.8857698287579166e-05,0.8684861269437001,-1.3912689636625013,2.8857698287579166e-05
ENSG00000159063,ALG8,1.2982775268412297,1.438429350510459,3.0339543559098277e-05,0.47806575795066064,-1.438429350510459,3.0339543559098277e-05
ENSG00000245694,CRNDE,2.8751034036577234,1.3776525348474356,3.2988103518492725e-05,1.1048630850415269,-1.3776525348474356,3.2988103518492725e-05
ENSG00000149196,HIKESHI,5.960934689470646,1.3181416746451926,6.688363137473143e-05,2.3876728688757995,-1.3181416746451926,6.688363137473903e-05
ENSG00000149269,PAK1,1.8989730989617988,1.345063831110977,7.97661689244738e-05,0.7463137665785313,-1.345063831110977,7.97661689244738e-05
ENSG00000268621,IGFL2-AS1,6.004533561640687,1.2992801612726468,0.00012271407351299536,2.4368074051096174,-1.2992801612726468,0.00012271407351299536
ENSG00000118363,SPCS2,7.816308916262403,1.2734103577515683,0.00015644562398468032,3.229599787044463,-1.2734103577515683,0.00015644562398468032
ENSG00000175582,RAB6A,1.3515650372712802,1.305710045072189,0.00018329067357012184,0.5457917403270042,-1.305710045072189,0.00018329067357012184
ENSG00000172922,RNASEH2C,12.15197453761651,1.2243434599205956,0.00024375720811236465,5.194981236397179,-1.2243434599205956,0.00024375720811236465
ENSG00000074201,CLNS1A,13.593159478792876,1.2223594798495032,0.00024737248891613706,5.819122642610541,-1.2223594798495032,0.00024737248891613706
ENSG00000073921,PICALM,1.9110838967868102,1.2480409590037316,0.00034724062376206545,0.8034160654448602,-1.2480409590037316,0.00034724062376206545
ENSG00000196954,CASP4,1.4993167707364201,1.2407636967057063,0.00042641848656677246,0.6334371292846254,-1.2407636967057063,0.00042641848656677246
ENSG00000161249,DMKN,4.042584313988829,1.1820449648691578,0.0007087341544534533,1.779466987927459,-1.1820449648691578,0.0007087341544534533
ENSG00000175581,MRPL48,4.255734355709031,1.1786391168363768,0.000717440030408315,1.8777360603950948,-1.1786391168363768,0.0007174400304084081
ENSG00000110330,BIRC2,1.932883332871831,1.1924082300838936,0.0007696611394593946,0.8445828390461672,-1.1924082300838936,0.0007696611394593946
ENSG00000234745,HLA-B,1.3467207181412757,1.2321521145887804,0.000797295637042136,0.5723509491020409,-1.2321521145887804,0.000797295637042136
ENSG00000174851,YIF1A,6.861978047651499,1.0987142067277098,0.0017789084920199958,3.2003846573919223,-1.0987142067277098,0.0017789084920199958
ENSG00000149257,SERPINH1,2.09032370459698,1.1205477144924807,0.0020013506211842215,0.9601153972175768,-1.1205477144924807,0.0020013506211842215
ENSG00000048649,RSF1,2.371294214137246,1.0913376047154366,0.0025884297358097254,1.111502887235286,-1.0913376047154366,0.0025884297358097254
ENSG00000108679,LGALS3BP,1.252256495106186,1.0976795415412508,0.0042224051682801,0.5843025930508075,-1.0976795415412508,0.0042224051682801
ENSG00000181924,COA4,10.531549788629976,1.030505032344875,0.004267834353708499,5.149830581479616,-1.030505032344875,0.004267834353708984
ENSG00000175634,RPS6KB2,3.6380836666334457,1.0430100040524073,0.00445488375120965,1.763531462662437,-1.0430100040524073,0.004454883751209468
ENSG00000120437,ACAT2,1.5574486002964751,1.0543159202242842,0.006547765875140638,0.748969687456035,-1.0543159202242842,0.006547765875140638
ENSG00000255135,AP002360.1,1.167480910331106,1.0637090551815942,0.007781025585723431,0.5577433842757707,-1.0637090551815942,0.007781025585723431
ENSG00000120885,CLU,1.0512172512109956,1.0491771082233508,0.009104796828564427,0.507280887603201,-1.0491771082233508,0.009104796828564427
ENSG00000165434,PGM2L1,1.6349577063765486,1.0042906903242221,0.01039010993526588,0.8140397489548749,-1.0042906903242221,0.01039010993526588
ENSG00000062716,VMP1,2.3155845441421934,0.9685995923763207,0.013977215602036075,1.1818847904891332,-0.9685995923763207,0.013977215602036075
ENSG00000133169,BEX1,1.2789002503212115,1.0361130649612433,0.017086500459862815,0.6228134457746106,-1.0361130649612433,0.017086500459862815
ENSG00000166415,WDR72,2.7975942975776498,0.9503193622486076,0.017253825003688546,1.4461489178007485,-0.9503193622486076,0.017253825003689032
ENSG00000161999,JMJD8,1.2159241016311517,0.9634037426527446,0.018444622741963658,0.6228134457746106,-0.9634037426527446,0.018444622741963658
ENSG00000172663,TMEM134,1.5695593981214866,0.906084572428807,0.02993745141898069,0.8366150764136561,-0.906084572428807,0.02993745141898069
ENSG00000079462,PAFAH1B3,1.2546786546711883,0.8794722785762199,0.04437007920808864,0.6812437050796913,-0.8794722785762199,0.04437007920808864
ENSG00000110200,ANAPC15,3.8754553040036708,0.8404928034029564,0.045953010467322815,2.1619195942879874,-0.8404928034029564,0.045953010467324196
ENSG00000107984,DKK1,1.8408412694017435,0.8617194960812323,0.06349491828741731,1.0119058543288983,-0.8617194960812323,0.0634949182874101
ENSG00000136732,GYPC,3.8972547400886914,0.813582833051598,0.06497231069386496,2.215038011838061,-0.813582833051598,0.06497231069386496
ENSG00000167644,C19orf33,10.117360503014583,0.7881943679081678,0.07180604735188684,5.852321653579337,-0.7881943679081678,0.07180604735188684
ENSG00000172531,PPP1CA,10.051962194759522,0.7821174271608569,0.07414258383811596,5.839042049191819,-0.7821174271608569,0.07414258383811596
ENSG00000197345,MRPL21,7.983437926247562,0.7813675308198058,0.07672830528287376,4.639893772998912,-0.7813675308198058,0.07672830528287376
ENSG00000172725,CORO1B,1.300699686406232,0.8102639891256513,0.07784216308174377,0.741001924823524,-0.8102639891256513,0.07784216308174377
ENSG00000167543,TP53I13,1.0100405386059568,0.8146420167663749,0.07962302484057798,0.5736789095407927,-0.8146420167663749,0.07962302484057798
ENSG00000142871,CCN1,1.4314963029163559,0.8826666505704002,0.08462290915021725,0.7755288962310717,-0.8826666505704002,0.08462290915021725
ENSG00000149357,LAMTOR1,11.788650602866166,0.7620243209916424,0.08881606604228162,6.943905134233345,-0.7620243209916424,0.08881606604227665
ENSG00000128739,SNRPN,1.5162718876914363,0.7849626721016683,0.09169027560420104,0.8791098104537148,-0.7849626721016683,0.09169027560420104
ENSG00000172893,DHCR7,1.6519128233315648,0.7814019806191024,0.09247501767142065,0.9601153972175768,-0.7814019806191024,0.09247501767142065
ENSG00000167797,CDK2AP2,2.916280116262762,0.7682869821678903,0.09863259346158798,1.7104130451123636,-0.7682869821678903,0.09863259346158798
ENSG00000174547,MRPL11,5.79622783905049,0.7519771537818032,0.10288235629671114,3.438089575928501,-0.7519771537818032,0.10288235629671114
ENSG00000108479,GALK1,1.291011048146223,0.7789971061575423,0.10288235629671114,0.7516256083335386,-0.7789971061575423,0.10288235629671114
ENSG00000105825,TFPI2,5.401415829955116,0.7661859947882468,0.11434150684817433,3.172497488178134,-0.7661859947882468,0.11434150684817748
ENSG00000174165,ZDHHC24,3.3207807636181452,0.7416410964995623,0.12195787288678839,1.9839728954952416,-0.7416410964995623,0.12195787288678839
ENSG00000183010,PYCR1,1.2425678568461769,0.7547866873686271,0.12731905283130213,0.7356900830685166,-0.7547866873686271,0.12731905283130213
ENSG00000169738,DCXR,7.307655407611922,0.7257445646629868,0.12731905283130213,4.4141404984111,-0.7257445646629868,0.12731905283130213
ENSG00000173812,EIF1,45.994387979828566,0.7042339583253456,0.14167524777398793,28.199239916895216,-0.7042339583253456,0.14167524777398793
ENSG00000175482,POLD4,2.741884627582597,0.719116612430694,0.15278171188175,1.6639344297560494,-0.719116612430694,0.15278171188175
ENSG00000084207,GSTP1,34.1015845156673,0.6984073206354093,0.15582399183364873,20.99239861578901,-0.6984073206354093,0.15582399183364873
ENSG00000204525,HLA-C,1.9789043646068745,0.7022593442570222,0.17242025335907024,1.215083801457929,-0.7022593442570222,0.17242025335907024
ENSG00000256940,PPP1R14B-AS1,1.1214598785960623,0.7122598391165356,0.1783738861682843,0.6838996259571951,-0.7122598391165356,0.1783738861682843
ENSG00000175602,CCDC85B,36.6327412610947,0.6695026193990801,0.18898318487382235,23.00691460137554,-0.6695026193990801,0.18898318487382235
ENSG00000198498,TMA16,1.2740559311912067,0.7001509308718996,0.19311654126583852,0.7834966588635827,-0.7001509308718996,0.19311654126583852
ENSG00000165512,ZNF22,1.6591793020265715,0.6765460682776774,0.21072217724811684,1.0371371026651832,-0.6765460682776774,0.21072217724811684
ENSG00000167792,NDUFV1,3.3934455505682144,0.6686225197477467,0.21908854573468947,2.132704464635447,-0.6686225197477467,0.219088545734677
ENSG00000174744,BRMS1,3.347424518833171,0.6588466043403653,0.22549540760172967,2.118096899809177,-0.6588466043403653,0.22549540760172967
ENSG00000137819,PAQR5,1.6398020255065533,0.6559377184333529,0.23441792365314873,1.0397930235426869,-0.6559377184333529,0.23441792365314873
ENSG00000110717,NDUFS8,7.8913958627774745,0.6382523944288887,0.23915830767538257,5.064841113399499,-0.6382523944288887,0.23915830767538257
ENSG00000178057,NDUFAF3,4.364731536134134,0.6345658687305329,0.25714366464026744,2.808636327960131,-0.6345658687305329,0.2571436646402565
ENSG00000181038,METTL23,1.4532957390013765,0.6455161682910738,0.25733692364066546,0.9282443466875328,-0.6455161682910738,0.25733692364066546
ENSG00000092010,PSME1,2.674064159762533,0.6388301938807568,0.26820822398320465,1.715724886867371,-0.6388301938807568,0.2682082239832161
ENSG00000225663,MCRIP1,2.192054406327076,0.6390247900078907,0.26843125340673085,1.4063101046381934,-0.6390247900078907,0.26843125340675755
ENSG00000160209,PDXK,3.5436194435983563,0.6321745556560563,0.26954268573744783,2.284091954653156,-0.6321745556560563,0.26954268573744783
ENSG00000107833,NPM3,4.5270162269892875,0.6264577399076023,0.2710730738011204,2.9294807278865482,-0.6264577399076023,0.27107307380110934
ENSG00000168569,TMEM223,1.4702508559563927,0.6377001818894051,0.2710730738011204,0.9441798719525547,-0.6377001818894051,0.27107307380110934
ENSG00000168000,BSCL2,4.156425813543937,0.6210764595568514,0.2775135221098421,2.6997435719824807,-0.6210764595568514,0.2775135221098495
ENSG00000119632,IFI27L2,1.7415327272366496,0.6311410364096933,0.27935210003393085,1.1234545311840525,-0.6311410364096933,0.27935210003393085
ENSG00000184497,TMEM255B,1.5695593981214866,0.6339335799180338,0.2826408239302562,1.0105778938901464,-0.6339335799180338,0.2826408239302562
ENSG00000277972,CISD3,5.21490954344994,0.6152538736147781,0.2846930228061462,3.40090668364345,-0.6152538736147781,0.2846930228061462
ENSG00000137880,GCHFR,1.8917066202667918,0.6169961103369166,0.3018906867117104,1.232347287161703,-0.6169961103369166,0.3018906867117104
ENSG00000156384,SFR1,1.0972382829460392,0.6286595054146231,0.30677462721529297,0.7091308742934799,-0.6286595054146231,0.30677462721529297
ENSG00000105971,CAV2,2.073368587641964,0.6128903426469157,0.3092043470359229,1.3545196475268717,-0.6128903426469157,0.3092043470359229
ENSG00000188938,FAM120AOS,1.53080484508145,0.609325364619486,0.32190535520280644,1.0026101312576354,-0.609325364619486,0.32190535520280644
ENSG00000134285,FKBP11,1.9425719711318399,0.6003771447740889,0.3310702665356474,1.280153862956769,-0.6003771447740889,0.3310702665356474
ENSG00000042286,AIFM2,1.0899718042510325,0.6137114446821856,0.3326769114263691,0.7117867951709836,-0.6137114446821856,0.3326769114263691
ENSG00000105404,RABAC1,3.1730290301530055,0.5971626137737347,0.3330816572493276,2.0955215723503957,-0.5971626137737347,0.33308165724936606
ENSG00000109861,CTSC,7.593470236282193,0.5983372359269801,0.33411180868163287,5.0103947354106735,-0.5983372359269801,0.33411180868163287
